"","Date","hour","TemperatureF","Dew_PointF","Humidity","month","DayOfWeek","Weekday","Peak_hour"
"300",2016-10-13,13,71.1,55,57,10,4,1,1
"301",2016-10-13,14,71.1,53.1,53,10,4,1,1
"302",2016-10-13,15,70,52,53,10,4,1,1
"303",2016-10-13,16,69.1,51.1,53,10,4,1,1
"304",2016-10-13,17,68,52,56,10,4,1,1
"305",2016-10-13,18,64.9,55.9,73,10,4,1,1
"306",2016-10-13,19,64,55.9,75,10,4,1,0
"307",2016-10-13,20,63,55,75,10,4,1,0
"308",2016-10-13,21,61,53.1,75,10,4,1,0
"309",2016-10-13,22,60.1,52,75,10,4,1,0
"310",2016-10-13,23,57.9,50,75,10,4,1,0
"311",2016-10-14,0,55,45,69,10,5,1,0
"312",2016-10-14,1,52,39,61,10,5,1,0
"313",2016-10-14,2,50,37,61,10,5,1,0
"314",2016-10-14,3,48.9,37,64,10,5,1,0
"315",2016-10-14,4,48,36,63,10,5,1,0
"316",2016-10-14,5,46.9,34,61,10,5,1,0
"317",2016-10-14,6,46,33.1,61,10,5,1,0
"318",2016-10-14,7,46.9,33.1,59,10,5,1,1
"319",2016-10-14,8,48,33.1,56,10,5,1,1
"320",2016-10-14,9,50,33.1,52,10,5,1,1
"321",2016-10-14,10,52,33.1,49,10,5,1,1
"322",2016-10-14,11,55,34,45,10,5,1,1
"323",2016-10-14,12,55.9,33.1,42,10,5,1,1
"324",2016-10-14,13,57.9,33.1,39,10,5,1,1
"325",2016-10-14,14,59,32,36,10,5,1,1
"326",2016-10-14,15,59,30.9,35,10,5,1,1
"327",2016-10-14,16,55,39.9,57,10,5,1,1
"328",2016-10-14,17,53.1,39,59,10,5,1,1
"329",2016-10-14,18,52,39.9,63,10,5,1,1
"330",2016-10-14,19,52,41,66,10,5,1,0
"331",2016-10-14,20,53.1,37,55,10,5,1,0
"332",2016-10-14,21,52,34,50,10,5,1,0
"333",2016-10-14,22,48.9,33.1,54,10,5,1,0
"334",2016-10-14,23,48,30.9,52,10,5,1,0
